sample_name,medical_term,matched_text,plain_language_explanation,occurrence_count_in_document,example_sentence
Lap Chole - Discharge Summary,2-d,2-D,Flat and having both length and width.,1,"So, the patient admitted to the Med/Surg floor initially and the patient was started on IV fluid as well as low-dose IV antibiotic and 2-D echocardiogram and EKG also was ordered."
BRCA-2 mutation,abdominal,abdominal,Related to the stomach area.,1,"The patient regained bowel function and was discharged on the morning of the fourth postoperative day.,OPERATIONS AND PROCEDURES: , Total abdominal hysterectomy/bilateral salpingo-oophorectomy with resection of ovarian fossa peritoneum en bloc on July 25, 2006.,PATHOLOGY: , A 105-gram uterus without dysplasia or cancer.,CONDITION ON DISCHARGE: , Stable.,PLAN: ,The patient will remain at rest initially with progressive ambulation after."
Back Pain - Discharge Summary,abdominal,abdominal,Related to the stomach area.,1,"B, the patient's oncologist.,ALLERGIES: , PENICILLIN, AMOXICILLIN, CEPHALOSPORIN, DOXYCYCLINE, IVP DYE, IODINE, and SULFA, all cause HIVES.,Additionally, the patient reports that he has HIVES when he comes in contact with SAP FROM THE MANGO TREE, and therefore, he avoids any mango product at all.,PAST MEDICAL HISTORY: , Status post right orchiectomy secondary to his testicular cancer 18 years ago approximately 1989, GERD, irritable bowel syndrome, seasonal asthma (fall and spring) triggered by postnasal drip, history of bilateral carpal tunnel syndrome, and status post excision of abdominal teratoma and incisional hernia.,FAMILY HISTORY:, Noncontributory.,SOCIAL HISTORY: , The patient is employed in the finance department."
Cholecystitis - Discharge Summary,abdominal,abdominal,Related to the stomach area.,1,"She was admitted through the emergency room with abdominal pain, elevated bilirubin, and gallstones on ultrasound with a dilated common bile duct."
Discharge Summary - 13,abdominal,Abdominal,Related to the stomach area.,1,"Abdominal pain.,DISCHARGE DIAGNOSIS:, Sick sinus syndrome."
Discharge Summary - 14,abdominal,abdominal,Related to the stomach area.,2,"The patient presented to our emergency room for worsening abdominal pain as well as swelling of the right lower leg.,PAST MEDICAL HISTORY: , Extensive and well documented in prior charts.,PHYSICAL EXAMINATION: , Abdomen was diffusely tender."
Discharge Summary - 15,abdominal,abdominal,Related to the stomach area.,1,Chest x-ray and abdominal films were unremarkable.
Discharge Summary - 19,abdominal,abdominal,Related to the stomach area.,1,"The patient denies any chest pain, nausea, vomiting, fever, chills, shortness of breath, abdominal pain or any urine or bowel problems.,PAST MEDICAL HISTORY: , Can be referred to the H&P dictated in the chart.,PAST SURGICAL HISTORY: , Can be referred to the H&P dictated in the chart.,PHYSICAL EXAMINATION: ,VITAL SIGNS: At the time of discharge temperature 36.6 degree Celsius, pulse rate of 77 per minute, respiratory rate 20 per minute, blood pressure 115/63, and oxygen saturation of 94% on room air.,GENERAL: The patient is a thin built Caucasian female with no pallor, cyanosis or icterus."
Discharge Summary - 9,abdominal,abdominal,Related to the stomach area.,2,"She has had abdominal CAT scan and gastric emptying studies which was normal.,A CT scan of the abdomen done on her May 9, 2007, which showed bilateral peripelvic renal cysts and a redundant sigmoid colon."
Discharge Summary - ATV Accident,abdominal,abdominal,Related to the stomach area.,2,He had no abdominal tenderness and there were no abdominal injuries on exam or radiographic studies.
Discharge Summary - Cholelithiasis,abdominal,abdominal,Related to the stomach area.,1,"She needs to call for any shortness of breath, temperature greater than 101.5, chest pain, intractable nausea, vomiting, and abdominal pain, any redness, swelling or foul smelling drainage from her wounds."
Discharge Summary - Gastric Bypass,abdominal,abdominal,Related to the stomach area.,1,"She is instructed to call for any problems of shortness of breath, chest pain, calf pain, temperature greater than 101.5, any redness, swelling, or foul smelling drainage from her wounds, intractable nausea, vomiting, and abdominal pain."
Discharge Summary - Respiratory Failure,abdominal,abdominal,Related to the stomach area.,2,He had some evidence of redness and exquisite swelling around his genital and lower abdominal region.
Ectopic Pregnancy - Discharge Summary,abdominal,abdominal,Related to the stomach area.,1,"Again, based on these findings, the severe abdominal pain, we made the diagnosis of ectopic and it was proved or confirmed at surgery."
Gastroenteritis - Discharge Summary,abdominal,abdominal,Related to the stomach area.,2,"This patient presented with periumbilical abdominal pain with nausea, vomiting, and diarrhea for the past 3 days and four to five watery bowel movements a day with symptoms progressively getting worse."
Goldenhar Syndrome - Discharge Summary,abdominal,abdominal,Related to the stomach area.,1,"Sodium level is 138, potassium 5.4, chloride 103, CO2 23, BUN 7, creatinine 0.4, glucose 84, calcium 9.9, and at this dictation, the report on the abdominal flat plate is pending.,HOSPITAL COURSE: ,The child was placed at bowel rest initially and then re-tried on full strength formula, but she did not tolerate."
Lap Chole - Discharge Summary,abdominal,abdominal,Related to the stomach area.,1,"X and the patient went later on home, but started having epigastric pain and right upper quadrant pain and mid abdominal pain, some nauseated feeling, and then she could not handle the pain, so came to the emergency room, brought by the family."
Mullerian Adenosarcoma,abdominal,abdominal,Related to the stomach area.,1,"She was discharged on the morning of the seventh postoperative day.,OPERATIONS: , July 25, 2006: Total abdominal hysterectomy, bilateral salpingo-oophorectomy.,DISCHARGE CONDITION: , Stable., ,PLAN: , The patient will remain at rest initially with progressive ambulation thereafter."
Neonatal Discharge Summary - 1,abdominal,abdominal,Related to the stomach area.,2,feeds of expressed breast milk and baby began to experience some abdominal distention.
Pancreatic Mass - Discharge Summary,abdominal,abdominal,Related to the stomach area.,1,"HISTORY OF PRESENT ILLNESS: , The patient is a 48-year-old man who has had abdominal pain since October of last year associated with a 30-pound weight loss and then developed jaundice."
