medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
stable,stable,Stable means steady and unchanging.,57,52.78,101,TAH - Discharge Summary | Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary,"On the 1st postoperative day, the patient was afebrile and all vital signs were stable.",,,
who,who,A part of the United Nations dealing with global health issues.,52,48.15,63,Renal Disease - Discharge Summary | Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary,"Hypertension.,CONDITION ON DISCHARGE: , Stable.,PROCEDURE PERFORMED: , None.,HOSPITAL COURSE: , The patient is a 44-year-old African-American male who was diagnosed with end-stage renal disease requiring hemodialysis three times per week approximately four to five months ago.",,,
follow up,follow up,Checking back with the doctor or caregiver later on.,47,43.52,66,Pyelonephritis - Discharge Summary | Otitis Media - Discharge Summary | ORIF - Discharge Summary,She is to follow up with Dr.,,,
present,present,Present means shown.,47,43.52,60,Speech Therapy - Discharge Summary - 1 | Pyelonephritis - Discharge Summary | Prematurity - Discharge Summary,"At this time, the patient is eating and drinking and taking all medications by mouth; however, her G-tube is still present.",,,
physical,Physical,A doctor examining a patient's body for signs of illness.,42,38.89,60,Urology Discharge Summary | Prematurity - Discharge Summary | Otitis Media - Discharge Summary,Physical examination revealed normal heart and lungs.,,,
examination,examination,Inspecting the body for signs of illness.,37,34.26,43,Speech Therapy - Discharge Summary - 2 | Urology Discharge Summary | Prematurity - Discharge Summary,"We did complete an oral mechanism examination and clinical swallow evaluation, which showed her swallowing to be within functional limits.",,,
hypertension,Hypertension,High blood pressure: when the force of blood in your arteries is too high.,34,31.48,60,Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary | Pancreatic Mass - Discharge Summary,"Hypertension.,DISCHARGE DIAGNOSES:,1.",,,
followup,followup,Going back to your doctor for a checkup or follow-up appointment.,33,30.56,48,Speech Therapy - Discharge Summary - 2 | Psychiatric Discharge Summary | Prematurity - Discharge Summary,"She has not made any additional followup sessions with me for over three weeks, so she is discharged from my services at this time.",,,
disease,disease,A disease is when your body is not functioning how it should.,32,29.63,83,Urology Discharge Summary | Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary,"Chest x-ray calcified old granulomatous disease, otherwise normal.",,,
therapy,therapy,Treatment for an illness or condition using care or medication.,31,28.7,75,Speech Therapy - Discharge Summary - 2 | TAH - Discharge Summary | Speech Therapy - Discharge Summary - 1,The patient made some progress during therapy.,,,
status,status,Status means the condition or state of something.,30,27.78,58,Pneumonia - Discharge Summary | Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary,"Her fever broke 18 hours prior to discharge, and O2 saturations improved, as did her overall strength and clinical status.",,,
white,white,White blood cells are the cells that help protect the body from infections and diseases.,29,26.85,45,Pancreatic Mass - Discharge Summary | Pneumonia & COPD - Discharge Summary | Knee Surgery - Discharge Summary,"At the time of discharge, the patient's white count was 9.4, hemoglobin 10.8, hematocrit 32 with a MCV of 79, platelet count of 585,000.",,,
fever,fever,Having a high body temperature above 98.6 degrees Fahrenheit.,28,25.93,42,Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary | Pneumonia - Discharge Summary,",PLAN: , The patient should return for repeat ERCP if there are signs of stent occlusion such as fever, increased bilirubin, worsening pain.",,,
vital signs,vital signs,"Vital signs are numbers that tell how well your body is doing, like your pulse, blood pressure, and temperature.",28,25.93,32,TAH - Discharge Summary | Prematurity - Discharge Summary | Post Thyroidectomy - Discharge Summary,"On the 1st postoperative day, the patient was afebrile and all vital signs were stable.",,,
procedures,procedures,"A procedure is a medical action done to diagnose or treat a disease, like taking blood or doing surgery.",28,25.93,29,TAH - Discharge Summary | Urology Discharge Summary | ORIF - Discharge Summary,The patient tolerated all procedures well.,,,
