medical_term,plain_language_explanation,filtering_method
2-d,Flat and having both length and width.,README-based filtered glossary with task-specific patient-facing relevance filtering
2d,"Flat and two-dimensional, with only length and width.",README-based filtered glossary with task-specific patient-facing relevance filtering
4th ventricle,The 4th ventricle is a fluid-filled space at the base of the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
5-fluorouracil,A medication used to fight specific forms of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
5-fu,A medicine for certain kinds of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
a gradient,"A gradient is when something changes in value, like temperature or pressure.",README-based filtered glossary with task-specific patient-facing relevance filtering
a headache,"When your head hurts, that's a headache.",README-based filtered glossary with task-specific patient-facing relevance filtering
a-symptomatic,Not showing any signs of being sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
a-v fistula,A - V fistula is when an artery and a vein are connected.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal,Related to the stomach area.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal aorta,The big artery in your belly that carries blood to your belly and legs.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal cavity,The belly area where your stomach and other organs are located.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal girth,The distance around your belly button.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal ultrasound,A way to look inside the stomach using sound waves to create pictures.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal wall,The abdominal wall is the layer of tissues around the belly and its organs.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominal x-ray,An abdominal x-ray is a way to see the organs in your belly using pictures.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominoperineal resection,Surgery to take out a portion of the large intestine.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominoperitoneal resection,A surgery to take out part of the large intestine.,README-based filtered glossary with task-specific patient-facing relevance filtering
abdominoplasty,A surgery to remove extra skin around the belly area.,README-based filtered glossary with task-specific patient-facing relevance filtering
ablate,Ablate means to be removed or destroyed.,README-based filtered glossary with task-specific patient-facing relevance filtering
ablating,Ablating means something has been taken away or destroyed.,README-based filtered glossary with task-specific patient-facing relevance filtering
ablation,"Destroying tissue as part of a treatment using methods like heat, cold, electricity, radiation, laser, or sound waves.",README-based filtered glossary with task-specific patient-facing relevance filtering
ablations,Destroying tissue as part of a medical treatment using various methods like heat or cold.,README-based filtered glossary with task-specific patient-facing relevance filtering
ablative,Destroying harmful tissue to treat a condition.,README-based filtered glossary with task-specific patient-facing relevance filtering
ablator catheter,A tool that makes small scars in the heart to stop abnormal electrical signals.,README-based filtered glossary with task-specific patient-facing relevance filtering
abnormality,An abnormality is something that is unusual or different from what is typical.,README-based filtered glossary with task-specific patient-facing relevance filtering
abo,A test that tells you what blood type you have.,README-based filtered glossary with task-specific patient-facing relevance filtering
abrasion,Abrasions are injuries caused by scraping or wearing away a part of the skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
abs monocytes,A measure of white blood cells that fight off infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
abscess,It's a sore filled with pus that happens when your body is fighting off an infection.,README-based filtered glossary with task-specific patient-facing relevance filtering
abscesses,It's like a pocket of pus that forms when your body is fighting an infection.,README-based filtered glossary with task-specific patient-facing relevance filtering
absolute,Absolute means something that is complete or total.,README-based filtered glossary with task-specific patient-facing relevance filtering
absolute neutrophic,A count of white blood cells that combat infections in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
absorption,Absorption is when the body takes in a drug or substance.,README-based filtered glossary with task-specific patient-facing relevance filtering
absorptive,Absorptive means when your body takes in a drug or substance.,README-based filtered glossary with task-specific patient-facing relevance filtering
abuser,Someone who uses a substance in a harmful or inappropriate way.,README-based filtered glossary with task-specific patient-facing relevance filtering
abvd,A mixture of cancer medications utilized for treating Hodgkin lymphoma.,README-based filtered glossary with task-specific patient-facing relevance filtering
acalculia,Not being able to do simple math due to a brain injury.,README-based filtered glossary with task-specific patient-facing relevance filtering
accelerated,Faster.,README-based filtered glossary with task-specific patient-facing relevance filtering
ace bandage,A stretchy bandage that is wrapped around a limb to ease swelling.,README-based filtered glossary with task-specific patient-facing relevance filtering
ace bandages,Stretchy bandages used to wrap around a limb to reduce swelling.,README-based filtered glossary with task-specific patient-facing relevance filtering
ace inhibitor,A drug that helps lower high blood pressure.,README-based filtered glossary with task-specific patient-facing relevance filtering
ace inhibitors,Medication that widens blood vessels and lowers blood pressure.,README-based filtered glossary with task-specific patient-facing relevance filtering
acetabulum,The socket where the thigh bone fits into the hip joint.,README-based filtered glossary with task-specific patient-facing relevance filtering
acetaminophen,Acetaminophen is a medicine that helps with pain and lowers fever.,README-based filtered glossary with task-specific patient-facing relevance filtering
acetate,"Acetate is a type of salt made from vinegar's weak acid, acetic acid.",README-based filtered glossary with task-specific patient-facing relevance filtering
acetylsalicylic acid,"A medication that helps with pain, fever, and swelling.",README-based filtered glossary with task-specific patient-facing relevance filtering
ache,"A dull, lingering pain in a specific area of the body.",README-based filtered glossary with task-specific patient-facing relevance filtering
aches,Aches are dull pains that occur in a specific part of the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
achilles,Achilles is the name of the band connecting the calf muscle to the heel.,README-based filtered glossary with task-specific patient-facing relevance filtering
achilles tendon,The Achilles tendon is the part that links your calf muscle to your heel bone.,README-based filtered glossary with task-specific patient-facing relevance filtering
aching,Aching is when a part of your body hurts with a dull pain.,README-based filtered glossary with task-specific patient-facing relevance filtering
aciclovir,A medication used to treat specific viral infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
acid base,Having the right balance of acids and bases in your body fluids.,README-based filtered glossary with task-specific patient-facing relevance filtering
acid base balances,Keeping acids and bases balanced in our blood and body fluids.,README-based filtered glossary with task-specific patient-facing relevance filtering
acidity,Acidity is how much acid is in something.,README-based filtered glossary with task-specific patient-facing relevance filtering
acidosis,Too much acid in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
acinar,Acinar means a sac-like part of a gland or a portion of the lung.,README-based filtered glossary with task-specific patient-facing relevance filtering
acne,Acne is a skin condition that gives you pimples.,README-based filtered glossary with task-specific patient-facing relevance filtering
acned,A condition that leads to the development of pimples on the skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
acoustic tumor,A bump that grows in the brain close to the ear.,README-based filtered glossary with task-specific patient-facing relevance filtering
acquired,Something not passed down but gained later in life.,README-based filtered glossary with task-specific patient-facing relevance filtering
acromioclavicular joint,The ACROMIOCLAVICULAR JOINT is a part of the shoulder joint.,README-based filtered glossary with task-specific patient-facing relevance filtering
acromion,A part of the shoulder blade.,README-based filtered glossary with task-specific patient-facing relevance filtering
acrylamide gel,A gel used in the lab to separate proteins or DNA pieces.,README-based filtered glossary with task-specific patient-facing relevance filtering
acth,A hormone that tells the adrenal gland what to do.,README-based filtered glossary with task-specific patient-facing relevance filtering
actin,It's a piece of the puzzle for your muscles.,README-based filtered glossary with task-specific patient-facing relevance filtering
actinomyceta,A type of bacteria that can cause diseases like pneumonia.,README-based filtered glossary with task-specific patient-facing relevance filtering
active,Happening right now.,README-based filtered glossary with task-specific patient-facing relevance filtering
active ingredient,The active ingredient is what makes the medication effective.,README-based filtered glossary with task-specific patient-facing relevance filtering
activities of daily living,"Things people do every day like eating, bathing, and getting dressed.",README-based filtered glossary with task-specific patient-facing relevance filtering
acupuncture,Acupuncture is when tiny needles are inserted into the skin to help relieve pain and other symptoms.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute care,Short-term treatment for severe injury or illness.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute coronary,Sudden blockage of blood to the heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute hepatic necrosis,Sudden liver cell death due to liver damage.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute leukemia,A severe type of blood cancer where the body makes too many immature white blood cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute lymphoblastic leukemia,A very fast-growing blood cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute lymphocytic leukemia,A type of blood cancer where there are too many young white blood cells in the blood and bone marrow.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute mi,A heart attack is when the heart doesn't get enough blood suddenly.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute myelogenic leukemia,"A type of cancer that affects the blood and bone marrow, causing an excess of immature white blood cells.",README-based filtered glossary with task-specific patient-facing relevance filtering
acute myelogenous leukemia,A type of blood cancer where the body makes too many immature white blood cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute myeloid leukemia,A type of cancer involving an abundance of underdeveloped white blood cells found in the blood and bone marrow.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute on chronic,A sudden and severe worsening of a long-standing issue.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute pain,"Sudden, intense pain that doesn't last long.",README-based filtered glossary with task-specific patient-facing relevance filtering
acute pericarditis,"Inflammation of the sac surrounding the heart that causes redness, pain, and swelling, typically lasting less than six weeks.",README-based filtered glossary with task-specific patient-facing relevance filtering
acute pulmonary edema,When fluid rapidly collects in the lungs causing breathing difficulties.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute rehabilitation,Intensive therapy to help patients recover after a serious injury or illness.,README-based filtered glossary with task-specific patient-facing relevance filtering
acute respiratory distress syndrome,"A serious lung condition that causes low levels of oxygen in the blood, which can be life-threatening if not treated promptly.",README-based filtered glossary with task-specific patient-facing relevance filtering
acute stroke,A sudden loss of brain function caused by reduced blood flow in the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
acyclovir,A medication for treating specific types of viral infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
addendum,"An addendum is an additional item, typically added to the end of a document.",README-based filtered glossary with task-specific patient-facing relevance filtering
addiction,"Addiction is when you can't stop doing something because you really want to keep doing it, like using drugs or gambling.",README-based filtered glossary with task-specific patient-facing relevance filtering
addison 's disease,"A condition where the body's adrenal glands don't produce enough hormones, leading to symptoms like weakness and low blood pressure.",README-based filtered glossary with task-specific patient-facing relevance filtering
addison disease,"Addison disease is when your adrenal glands don't produce enough hormones, leading to symptoms like weakness and low blood pressure.",README-based filtered glossary with task-specific patient-facing relevance filtering
adductor,Muscles that help move a body part closer to the midline or another part.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenitis,Swelling of the lymph nodes.,README-based filtered glossary with task-specific patient-facing relevance filtering
adeno,Adeno means having to do with glands.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenoid,Adenoid - Tissue in the back of the nose that helps the body fight off infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenoidectomy,Surgery to take out the tonsils.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenoma,A non-cancerous tumor that can develop in certain organs and may become cancerous.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenomas,Adenomas are a type of non-cancerous tumor that can develop in some organs and have the potential to turn cancerous.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenomatous,A non-cancerous gland growth.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenopathy,Swelling or inflammation of the lymph nodes.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenosarcoma,A type of tumor that has both gland and supporting tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenosis,A problem or change in a gland.,README-based filtered glossary with task-specific patient-facing relevance filtering
adenotonsillectomy,It's a surgery to take out your tonsils and adenoids.,README-based filtered glossary with task-specific patient-facing relevance filtering
