sample_index,sample_name,status,text_length,detected_term_count,unique_detected_term_count,unique_detected_terms,citation_count,question_count,baseline_check_status,baseline_warning_count,baseline_warning_categories,error_message
1, Speech Therapy - Discharge Summary - 2 ,success,1160,6,6,clinical; oral; outpatient; scanning; therapy; visual,6,6,pass,0,,
2, TAH - Discharge Summary ,success,2225,33,33,abdominal; ambulating; blood transfusions; clinical; complication; complications; constipation; ferrous sulfate; fibroid; flank; hemoglobin and hematocrit; hysterectomy; incisional; infections; intraoperative; lab; low; medical; menometrorrhagia; motrin; operating room; postoperative; stable; surgical; symptomatic; tablet; tablets; tenderness; therapy; unresponsive,33,6,pass,0,,
3, Urology Discharge Summary ,success,1197,25,25,bactrim; benign; bladder; bun; calcified; chest x-ray; complications; creatinine; cystourethroscopy; disease; ekg; granulomatous; hematocrit; hematuria; hemoglobin; obstruction; outpatient; pathology report; postoperative course; prostate; prothrombin; ptt; surgery; symptoms; urinary,25,6,pass,0,,
4, Renal Disease - Discharge Summary ,success,3937,41,41,against medical advice; aspirin; associated with; bladder; bowel; cardiology; confusion; congestive; diagnosed; dialysis; diaphoresis; dilated cardiomyopathy; dvt prophylaxis; emergency; end-stage renal disease; heart failure; hemodialysis; heparin; hypertension; hypotension; lightheadedness; lisinopril; low; myocardial; nephrology; nuclear medicine; orthostatic hypotension; palpitations; perfusion; procrit,41,6,warning,1,possible_over_detection,
5, Speech Therapy - Discharge Summary - 1 ,success,3037,21,21,alternative; aphasia; aspiration; by mouth; communication; complex; feeding tube; gestures; global; medical; moderate; modified barium swallow; multimodality; npo; outpatient; primary care physician; referred; rehabilitation; responses; therapy; verbally,21,6,pass,0,,
6, Psychiatric Discharge Summary ,success,2823,24,24,affective disorder; against medical advice; auditory; community; delusions; depression; hallucinations; hepatitis; homicidal; hygiene; initiated; iv; mental health; mental status; mood; mood lability; persistent; psychomotor; psychosis; referred; restricted; schizoaffective disorder; seroquel; symptomatic,24,6,pass,0,,
7, Psychiatric Discharge Summary - 2 ,success,126,0,0,,0,6,warning,1,no_terms_detected,
8, Speech Therapy - Discharge Summary ,success,842,5,5,cognitive; community; deficit; impairment; therapy,5,6,pass,0,,
9, Pyelonephritis - Discharge Summary ,success,1188,25,25,antibiotics; bactrim; chronically; foley; hypertension; ibuprofen; ileal; indwelling; isolated; iv; klebsiella; patellar; process; pyelonephritis; renal; renal insufficiency; sign; stable; surgery; symptoms; tender; tendon; urinary diversion; urine; uterine cancer,25,6,pass,0,,
10, Psychiatric Discharge Summary - 1 ,success,123,0,0,,0,6,warning,1,no_terms_detected,
11, Prematurity - Discharge Summary ,success,2781,46,46,antibiotics; auscultation; bilaterally; bilirubin; bowel; brachial; calories; clavicular; clitoris; conjunctival; cpap; defect; delivery; exposure; femoral; fracture; gestation; gestational age; gravida; heent; hip; home health; injection; jaundice; labia majora; maternal; murmur; neurological; palatal; partial,46,6,warning,1,possible_over_detection,
12, Pancreatic Mass - Discharge Summary ,success,2733,40,40,abdominal; associated with; bile duct; bilirubin; bun; chemotherapy; chloride; creatinine; ct scan; drainage; epigastric; ercp; fever; hematocrit; hemoglobin; hypertension; insulin; jaundice; lesions; liver metastases; lymph nodes; mcv; metastatic; occlusion; oral; outpatient; pancreas; pancreatic cancer; pancreatic duct; patch,40,6,pass,0,,
13, Otitis Media - Discharge Summary ,success,3925,64,64,active; advil; aerosols; albuterol; bilateral; bilaterally; blood culture; bowel; bun; cannula; cbc; chest x-ray; cranial nerves; creatinine; electrolytes; fever; fevers; gestation; glucose; heent; hour; ibuprofen; infection; inspiration; intact; intermittent; iv; lethargic; lethargy; lymphocytes,64,6,warning,1,possible_over_detection,
