medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
stable,stable,Stable means steady and unchanging.,57,52.78,101,TAH - Discharge Summary | Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary,"On the 1st postoperative day, the patient was afebrile and all vital signs were stable.",,,
hypertension,Hypertension,High blood pressure: when the force of blood in your arteries is too high.,34,31.48,60,Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary | Pancreatic Mass - Discharge Summary,"Hypertension.,DISCHARGE DIAGNOSES:,1.",,,
disease,disease,A disease is when your body is not functioning how it should.,32,29.63,83,Urology Discharge Summary | Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary,"Chest x-ray calcified old granulomatous disease, otherwise normal.",,,
therapy,therapy,Treatment for an illness or condition using care or medication.,31,28.7,75,Speech Therapy - Discharge Summary - 2 | TAH - Discharge Summary | Speech Therapy - Discharge Summary - 1,The patient made some progress during therapy.,,,
fever,fever,Having a high body temperature above 98.6 degrees Fahrenheit.,28,25.93,42,Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary | Pneumonia - Discharge Summary,",PLAN: , The patient should return for repeat ERCP if there are signs of stent occlusion such as fever, increased bilirubin, worsening pain.",,,
vital signs,vital signs,"Vital signs are numbers that tell how well your body is doing, like your pulse, blood pressure, and temperature.",28,25.93,32,TAH - Discharge Summary | Prematurity - Discharge Summary | Post Thyroidectomy - Discharge Summary,"On the 1st postoperative day, the patient was afebrile and all vital signs were stable.",,,
hemoglobin,Hemoglobin,A protein in the blood that carries oxygen and makes blood red.,27,25.0,35,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Leiomyosarcoma,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
iv,IV,Getting fluids and medicine put into your bloodstream through a needle.,26,24.07,43,Psychiatric Discharge Summary | Pyelonephritis - Discharge Summary | Otitis Media - Discharge Summary,"This was AMA against hospital advice.,DISCHARGE DIAGNOSES:,AXIS I: Schizoaffective disorder, bipolar type.,AXIS II: Deferred.,AXIS III: Hepatitis C.,AXIS IV: Severe.,AXIS V: 19.,CONDITION OF PATIENT ON DISCHARGE: , The patient remained disorganized.",,,
surgery,surgery,An operation that involves cutting open the skin to treat or fix a part of the body.,26,24.07,40,Urology Discharge Summary | Pyelonephritis - Discharge Summary | Post Thyroidectomy - Discharge Summary,"He is being discharged in satisfactory condition with a good urinary stream, minimal hematuria, and on Bactrim DS one a day for ten days with a standard postprostatic surgery instruction sheet.",,,
emergency,emergency,Emergency: A really serious situation that needs immediate attention.,26,24.07,30,Renal Disease - Discharge Summary | Pneumonia & COPD - Discharge Summary | Neurology - Discharge Summary,"In the emergency room, the patient was given fluids and orthostatics were checked.",,,
